id	szemely	hely	avatas	rogzites
1995	Kossuth Lajos	Kulcs	2013	2014.10.22
1996	Bernard Charles Ecclestone	Mogyoród	2003	2014.05.20
1997	Péchy Mihály	Debrecen	1960	2009.07.05
1998	IV. Béla	Tiszadada		2018.03.31
1999	Tessedik Sámuel	Martonvásár	1957	2012.03.28
2000	Jantyik Mátyás	Békés	2014	2016.11.02
2001	Kernstok Károly	Budapest	1974	2008.11.26
2002	József Attila	Győr	1988	2012.07.11
2003	Széchenyi István gróf	Budakeszi	2010	2010.04.07
2004	Ferenc József	Gödöllő	1917	2013.06.09
2005	Kazinczy Ferenc	Tápiógyörgye	2005	2012.04.18
2006	Kandó Kálmán	Egerfarmos	2000	2015.08.04
2007	Técsey Ferenc	Budapest	1984	2009.08.07
2008	Liszt Ferenc	Győrújbarát	2013	2013.06.27
2009	Mohácsy Mátyás	Törökbálint	1997	2013.04.09
2010	Attila	Dunakeszi	2017	2017.11.27
2011	Apponyi Albert gróf	Jászberény	1996	2013.07.08
2012	Kemény Zsigmond	Budapest	1896	2017.05.23
2013	Kálmán Imre	Siófok	1961	2009.05.25
2014	Hunyadi Mátyás	Megyaszó	1890	2015.07.30
2015	Michelberger Pál	Budapest	2016	2016.03.26
2016	Tóth László	Kecskemét	1968	2008.05.12
2017	Macskássy Gyula	Budapest	1987	2014.05.08
2018	Ady Endre	Szekszárd	1969	2008.01.25
2019	Kossuth Lajos	Szeghalom	1907	2009.09.27
2020	Grosics Gyula	Felcsút	2014	2015.03.10
2021	Deák Ferenc	Kalocsa	2009	2010.05.25
2022	Csontváry Kosztka Tivadar	Szeged	1979	2008.01.30
2023	Landler Jenő	Budapest	1958	2009.11.06
2024	Felsőbüki Nagy Pál	Bük	2002	2014.03.27
2025	Pethe Ferenc	Tiszavasvári	1969	2015.07.14
2026	Lumniczer József	Budapest	1923	2009.08.09
2027	Osváth Júlia	Budapest	1995	2013.05.15
2028	Birkás Imre	Orosháza	1977	2015.01.10
2029	Bartók Béla	Mohács	1970	2008.04.13
2030	Szent István	Birján	2001	2017.05.24
2031	Nagysándor József	Nagykanizsa	2000	2016.01.21
2032	Pattantyús-Ábrahám Géza	Kecskemét	1987	2008.05.10
2033	Stróbl Alajos	Szeged	1975	2010.06.12
2034	Lenin	Tiszaújváros	1983	2010.12.29
2035	Vörösmarty Mihály	Kaposvár	2013	2014.09.11
2036	Wass Albert	Veszprém	2011	2011.08.06
2037	Árpád fejedelem	Árpádhalom	1996	2014.11.05
2038	Deák Ferenc	Pápa	2003	2014.05.29
2039	Damjanich János	Pécs	1991	2008.02.06
2040	Vörösmarty Mihály	Székesfehérvár	2005	2011.08.29
2041	Entz Ferenc	Budapest	1963	2009.01.03
2042	Bálint Sándor	Szeged	1993	2008.02.14
2043	Petőfi Sándor	Göd	1968	2010.06.21
2044	Egressy Béni	Kiskunmajsa	2001	2010.03.08
2045	II. Rákóczi Ferenc	Jászkisér	2003	2011.01.26
2046	Mikoviny Sámuel	Miskolc-Egyetemváros	1992	2009.11.09
2047	Teleki Sándor gróf	Miskolc	2015	2016.07.12
2048	Kossuth Lajos	Göd	1948	2011.08.31
2049	Szilárd Leó	Paks	1995	2009.11.14
2050	Tolnay Károly	Kecskemét	1984	2014.02.11
2051	Bárány Róbert	Budapest	2006	2015.05.09
2052	Antall József	Mány	1996	2013.06.17
2053	Komjádi Béla	Budapest	1976	2012.03.04
2054	Badó Zoltán	Szentes	2002	2010.03.23
2055	Csók István	Cece	2015	2015.02.16
2056	Kiss József	Sarkad	1974	2013.06.24
2057	August Senoa	Pécs	1985	2008.02.06
2058	József Attila	Budapest	1965	2015.12.14
2059	Görgey Artúr	Visegrád	2018	2018.05.19
2060	Eötvös Loránd	Balatonfüred	1990	2014.08.13
2061	Széchenyi István gróf	Szank	2004	2010.04.21
2062	Adéle Opzoomer	Kiskőrös	2014	2015.06.08
2063	Csukássy József	Budapest	1893	2014.01.24
2064	Szent István	Veszprém	2000	2012.06.22
2065	Pogány Frigyes	Budapest	1998	2011.05.15
2066	Bak Mihály	Mezőberény	2000	2016.11.11
2067	Vajda János	Budapest	1915	2011.11.01
2068	Zalka Máté	Zánka	1984	2010.11.24
2069	Szántó Kovács János	Orosháza	1962	2010.03.10
2070	Kun Béla	Eger	1970	2016.10.21
2071	Apáczai Csere János	Győr	2000	2016.07.22
2072	Árvay Sándor	Debrecen	2017	2017.05.27
2073	Nagy Gyula	Orosháza	1982	2015.01.13
2074	Széchenyi Ferenc gróf	Budapest	1985	2011.07.08
2075	Erdei Ferenc	Harta	1988	2009.10.09
2076	Szenczi Molnár Albert	Vizsoly	1998	2011.06.06
2077	Chiovini Ferenc	Besenyszög	1999	2017.12.08
2078	Ördögh Szilveszter	Budapest	2017	2017.04.24
2079	Kossuth Lajos	Karácsond		2018.08.09
2080	Hippokratész	Budapest	1986	2008.11.26
2081	Veres Péter	Debrecen	1981	2009.02.11
2082	Széchenyi István gróf	Rácalmás	2012	2016.07.06
2083	Xantus János	Csokonyavisonta	2006	2012.06.26
2084	Rózsa Ferenc	Békéscsaba	1977	2016.12.09
2085	Bem József	Budapest	2010	2015.11.09
2086	Simonyi József báró	Budapest	1913	2012.04.15
2087	Lev Tolsztoj	Budapest	2013	2013.09.23
2088	Bolza Pál	Szarvas	2005	2009.10.29
2089	Schwarz Dávid	Budapest	1968	2009.04.06
2090	Hunyadi János	Szentgotthárd	1956	2012.11.14
2091	II. Rákóczi Ferenc	Kecskemét	1998	2010.01.20
2092	Vén Emil	Budapest	2002	2015.07.09
2093	II. Rákóczi Ferenc	Szentendre	1990	2013.04.12
2094	Bezerédj István	Szedres	1988	2006.06.26
2095	Szerdahelyi Kálmán	Budapest	1877	2013.04.20
2096	Ranolder János	Badacsonytomaj-Badacsony	2018	2018.12.07
2097	Nagy László	Vésztő-Mágor	2005	2011.11.07
2098	Berzsenyi Dániel	Kaposvár	1936	2010.05.13
2099	Xantus János	Budapest	1967	2010.04.19
2100	Szent László	Zalaszántó	2014	2014.08.26
2101	Dsida Jenő	Kaposvár	2011	2013.02.04
2102	Deák Ferenc	Alsómocsolád	1992	2010.07.02
2103	Baross László	Szeged	1974	2008.02.04
2104	Lénárd Fülöp	Budapest	2006	2015.05.07
2105	Ravasz László	Mezőberény	2016	2016.11.01
2106	Mathiász János	Budapest	1978	2008.07.25
2107	Bethlen Gábor	Budapest	2011	2011.11.26
2108	Bessenyei György	Kisvárda	1983	2011.04.23
2109	Petőfi Sándor	Petőfiszállás		2014.06.20
2110	Vörösmarty Mihály	Hévíz	2004	2009.08.27
2111	Lahner György	Nagykanizsa	2000	2016.01.20
2112	Liszt Ferenc	Miskolc		2014.11.07
2113	Nagy Imre	Tiszalúc	2017	2017.04.23
2114	Bánffy Miklós gróf	Szeged	2010	2010.06.09
2115	Széchenyi István gróf	Pécs	2010	2010.06.28
2116	Bíró Lajos	Kecskemét	1965	2008.05.12
2117	Báthori István	Nagyecsed	2000	2014.09.16
2118	Gyóni Géza	Békéscsaba	1975	2009.11.24
2119	Kaján Tibor	Budapest		2015.09.24
2120	Ramassetter Vince	Badacsonytomaj-Badacsony	2018	2018.09.21
2121	Kossuth Lajos	Balatonalmádi	1903	2009.06.09
2122	Kerpely Antal	Miskolc-Egyetemváros	1914	2014.08.10
2123	Kossuth Lajos	Balmazújváros	1988	2009.08.30
2124	Frédéric Joliot-Curie	Budapest	1959	2009.04.24
2125	II. Rákóczi Ferenc	Encs	2002	2010.02.23
2126	Kossuth Lajos	Monor	1901	2012.03.27
2127	Kalkuttai Teréz anya	Budapest	2006	2013.04.18
2128	Faludi Ferenc	Görcsöny	2015	2016.05.12
2129	Latinovits Zoltán	Debrecen	2007	2015.03.06
2130	Petőfi Sándor	Öttevény	2012	2014.03.06
2131	Bethlen Gábor	Budapest	2001	2012.07.23
2132	Mihálkovics Tivadar	Alsóörs	2009	2012.01.28
2133	Hága László	Zalaegerszeg	1987	2012.08.31
2134	Kepenyes Pál	Kondoros	2018	2018.09.26
2135	Josip Gujas Dzuretin	Felsőszentmárton	1986	2018.04.20
2136	Köllő Miklós	Budapest	1905	2013.09.27
2137	Tangl Károly	Budapest	1999	2011.11.25
2138	Esze Tamás	Vaja	1981	2010.06.20
2139	Petőfi Sándor	Encs	1998	2010.03.08
2140	Szent Márton	Szombathely	1913	2016.12.08
2141	Guoth Gy. Endre	Kulcs	2017	2017.12.28
2142	Patachich Gábor	Kecel	1997	2009.08.03
2143	Fekete Zoltán	Sopron	1963	2010.09.12
2144	Hajós Alfréd	Debrecen	1931	2013.04.02
2145	Szent László	Csokonyavisonta	2010	2012.07.17
2146	Vak Bottyán	Paks	1974	2008.06.22
2147	Kodály Zoltán	Kecskemét	1982	2009.12.15
2148	Soproni Horváth József	Sopron	1992	2009.10.11
2149	Wass Albert	Sükösd	2007	2008.07.09
2150	Kézmárszky Tivadar	Budapest	1906	2015.12.07
2151	Puskás Tivadar	Budapest	2013	2014.05.07
2152	Landler Jenő	Debrecen	1970	2014.11.06
2153	Kossuth Lajos	Dunapataj	1894	2009.06.20
2154	Benedek Elek	Budapest	1979	2009.04.14
2155	Szabolcska Mihály	Tiszakécske	1939	2010.08.27
2156	Németh László	Vésztő-Mágor	1987	2011.11.07
2157	Kossuth Lajos	Budapest	1913	2008.05.04
2158	Zichy Mihály	Budapest	1916	2012.01.08
2159	Ladányi Mihály	Dévaványa	2009	2011.12.30
2160	Bezzegh László	Sopron	2010	2010.09.11
2161	Radnóti Miklós	Szeged	1960	2012.11.05
2162	Esterházy Pál Antal	Kalocsa	2010	2010.05.25
2163	Batthyány Lajos gróf	Ópusztaszer	2001	2010.05.15
2164	Benedek Péter	Uszód	1989	2011.09.23
2165	Magyary-Kossa Gyula	Budapest	1990	2009.05.23
2166	Hamburger Jenő	Zalaegerszeg	1956	2018.07.13
2167	Tóth Aladár	Makó	1996	2009.11.24
2168	Hesz Mihály	Budapest	1999	2013.01.12
2169	Széchenyi István gróf	Kápolnásnyék	2016	2016.09.30
2170	Lyka Károly	Budapest	1977	2008.12.01
2171	Bhímráo Rámdzsí Ámbédkar	Sajókaza	2016	2016.07.05
2172	József Attila	Székesfehérvár	1990	2011.06.26
2173	II. János Pál pápa	Dunaújváros	2010	2010.05.18
2174	Tessedik Sámuel	Cserhátsurány	1960	2018.08.26
2175	Áchim L. András	Békéscsaba	1971	2009.11.23
2176	Hajnóczy József	Tiszaföldvár	1973	2012.11.05
2177	Cserháti Sándor	Mosonmagyaróvár	1914	2011.08.07
2178	Batthyány-Strattmann László	Dunakiliti	2003	2011.03.21
2179	Mikoviny Sámuel	Tata	2005	2010.01.27
2180	O'sváth Pál	Berettyóújfalu	2002	2009.03.22
2181	Deák Ferenc	Székesfehérvár	2003	2012.10.31
2182	Berzsenyi Dániel	Marcali	1970	2009.02.16
2183	Bokányi Dezső	Tatabánya	1984	2009.09.22
2184	Móricz Zsigmond	Prügy	1999	2010.04.10
2185	Prielle Kornélia	Budapest	1908	2013.01.10
2186	Császy László	Kisvárda	1987	2011.05.08
2187	Dalmady Zoltán	Budapest	1961	2009.08.10
2188	Kun Béla	Budapest	1968	2009.08.30
2189	Zelovich Kornél	Budapest	1965	2009.04.07
2190	Kossuth Lajos	Kölesd	1897	2006.06.11
2191	Németh László	Budapest		2017.05.28
2192	Wartha Vince	Budapest	1914	2011.12.15
2193	Papi Lajos	Kisújszállás	2004	2013.10.27
2194	Burgert Róbert	Bábolna	2003	2011.04.26
2195	Bársony János	Budapest	1929	2015.11.11
2196	Vécsey Károly	Pécs	1997	2008.02.06
2197	Korányi Frigyes	Nagykálló	1967	2012.01.25
2198	Deák Ferenc	Zalaszentgrót	2000	2014.05.21
2199	Vajda János	Vál	1908	2009.06.13
2200	Károly Gyula	Keszthely	1995	2011.02.12
2201	Petőfi Sándor	Balatonalmádi	1902	2009.07.27
2202	Povl Bang-Jensen	Budapest	1998	2013.03.20
2203	Szent István	Tatabánya	2006	2009.11.08
2204	Wass Albert	Törökszentmiklós	2010	2010.08.27
2205	Kun Katalin	Debrecen	2002	2010.04.23
2206	Móra Ferenc	Dunaújváros	1990	2010.03.01
2207	Bay Béla	Budapest	2000	2017.01.04
2208	I. András	Ópusztaszer	2001	2010.05.13
2209	Hunyadi János	Nagysimonyi	2006	2013.04.08
2210	Szent László	Székesfehérvár	1997	2010.06.13
2211	Giorgio Perlasca	Budapest	2002	2014.12.06
2212	Hőgyes Endre	Hajdúszoboszló	1969	2009.07.03
2213	Csány László	Zalaszentgyörgy	2017	2017.11.20
2214	Batthyány Lajos gróf	Detk	2008	2011.09.06
2215	Pettkó-Szantner Tibor	Bábolna	1992	2011.04.16
2216	Albert Flórián	Budapest	2007	2011.08.31
2217	Kossuth Lajos	Budapest	1946	2017.03.18
2218	Kőrösi Csoma Sándor	Dunaújváros	1986	2018.03.29
2219	Varga József	Veszprém	1962	2014.06.30
2220	Nagy Imre	Mesztegnyő	2011	2012.03.13
2221	Várkonyi István	Cegléd	2007	2013.03.20
2222	Szent István	Ruzsa	2000	2010.03.20
2223	Kónya Sándor	Sarkad	2003	2011.06.20
2224	Ady Endre	Zalaegerszeg	2001	2012.05.24
2225	Kozma Miklós	Tibolddaróc	1942	2014.08.30
2226	Nagy Szeder István	Kiskunhalas	2010	2010.11.06
2227	Szent László	Budapest	1999	2010.10.12
2228	Petőfi Sándor	Záhony	1997	2011.05.13
2229	Kodály Zoltán	Tatabánya	1989	2010.03.06
2230	Lengyel Menyhért	Balmazújváros	2013	2013.09.01
2231	Albert Kázmér	Mosonmagyaróvár	2004	2011.05.06
2232	Kőmáli Flandorffer	Sopron	2011	2011.09.28
2233	Fricsay Ferenc	Budapest	2014	2015.11.19
2234	Batthyány Lajos gróf	Zalakaros	1998	2009.12.18
2235	Semsey Andor	Balmazújváros	2010	2012.08.16
2236	II. Rákóczi Ferenc	Balatonakarattya	2018	2018.09.03
2237	Nagy Imre költő	Sárrétudvari	1996	2013.01.19
2238	Kelemen László	Csanádpalota	1973	2010.09.21
2239	Tas vezér	Bükkzsérc	2016	2017.11.27
2240	Juhász Gyula	Szeged	1979	2008.02.06
2241	II. Rákóczi Ferenc	Miskolc-Görömböly	2003	2011.04.24
2242	Kohán György	Gyula	1978	2015.03.20
2243	Móra Ferenc	Szeged	1944	2012.10.28
2244	Egry József	Badacsonytomaj-Badacsony	1967	2008.06.25
2245	Pór Bertalan	Budapest	1967	2008.04.18
2246	Endes Pongrác	Debrecen	2007	2009.02.01
2247	Lévai András	Paks	2009	2009.12.12
2248	Ferenczy Károly	Budapest	1998	2008.11.21
2249	Petőfi Sándor	Szeghalom	1980	2009.11.18
2250	Árpád fejedelem	Sződliget	1998	2010.08.12
2251	Feistmantel Rudolf	Sopron	1968	2010.09.12
2252	Kossuth Lajos	Érd	2017	2018.05.11
2253	Karinthy Frigyes	Budapest	1997	2012.12.12
2254	Bocskai István	Bagamér	2013	2013.08.08
2255	Szent István	Simontornya	2000	2008.06.15
2256	Körtvélyessy Zsolt	Budapest	2007	2018.10.28
2257	Jovan Jovanović Zmaj	Kiskőrös	1994	2010.09.24
2258	Kovács Sándor	Nagykőrös	2013	2014.05.08
2259	Marton László	Hévíz	2011	2011.09.03
2260	Habsburg Ottó	Paks	2005	2009.11.14
2261	Kossuth Lajos	Cegléd		2013.03.12
2262	Szent-Györgyi Albert	Terény	2002	2015.05.28
2263	Eötvös József báró	Békéscsaba	2004	2016.04.09
2264	Fazekas Mihály	Debrecen	1975	2010.01.31
2265	Gubody Ferenc	Cegléd		2009.05.02
2266	Egerváry Jenő	Budapest	2006	2009.01.16
2267	Mindszenty József	Ajka		2016.01.12
2268	Berzsenyi Dániel	Budapest	1860	2009.01.19
2269	Mohácsy Mátyás	Békéscsaba	1981	2009.12.08
2270	József Attila	Esztár	1972	2010.11.09
2271	Csiky Gergely	Kaposvár	1959	2012.10.06
2272	Bencze László	Zalaegerszeg	1987	2012.08.30
2273	Halmi Ferenc	Budapest	1908	2013.01.11
2274	Lendvay Márton	Budapest	1908	2013.01.05
2275	Liszt Ferenc	Budapest	2011	2011.11.22
2276	IV. Béla	Keszthely	2007	2009.03.07
2277	Bernáth Aurél	Marcali	1958	2008.12.30
2278	Meszlényi Zoltán	Budapest	2010	2015.11.12
2279	Jovicza Ignác	Érd	1989	2015.02.16
2280	Mosonyi Emil	Budapest	2010	2017.09.23
2281	Munkácsy Mihály	Zalaegerszeg	1974	2012.10.04
2282	Károlyi Imréné grófné	Nagymágocs	1943	2014.08.24
2283	Rudolf főherceg	Budapest	2003	2012.01.23
2284	Gyarmati Dezső	Lakitelek	2007	2010.06.25
2285	Markhot Ferenc	Eger	1965	2009.08.27
2286	Keller Lajos	Mindszent	2000	2010.06.09
2287	Erdei Ferenc	Bábolna	1987	2011.04.27
2288	Gerendás György	Budapest	1999	2013.03.08
2289	Tarczy Lajos	Pápa	2004	2014.12.23
2290	Kossuth Lajos	Sátoraljaújhely	2002	2012.06.19
2291	Szőke Katalin	Budapest	1999	2012.07.09
2292	Pattantyús-Ábrahám Géza	Budapest	1983	2009.01.17
2293	Zentai János	Kémes	2016	2018.04.27
2294	Kitaibel Pál	Debrecen	2012	2014.10.04
2295	Benczúr Gyula	Szeged	1930	2008.04.15
2296	Zsuffa István	Baja	2008	2010.12.05
2297	Kovács Ferenc	Debrecen	2011	2011.12.11
2298	Wass Albert	Miskolc	2014	2016.07.12
2299	Szent István	Jászladány	2001	2014.04.22
2300	Alexander Graham Bell	Tatabánya	1965	2009.11.18
2301	Istvánffy Miklós	Harkány	1981	2012.09.11
2302	Georgij Dimitrov	Kazincbarcika	1974	2009.09.08
2303	Kossuth Lajos	Tiszalök	1902	2014.06.25
2304	Kántás Károly	Zalaegerszeg	2012	2012.10.10
2305	Kisfaludy Károly	Tét	1974	2013.05.29
2306	Győry István	Debrecen	1976	2010.01.16
2307	Széchenyi István gróf	Vecsés	2017	2017.09.20
2308	Petőfi Sándor	Kisvárda	1985	2011.04.23
2309	Antall József	Százhalombatta	2004	2008.05.04
2310	Janus Pannonius	Budapest	1966	2008.11.26
2311	Sinka István	Vésztő-Mágor	1992	2011.09.29
2312	Liposits Elemér	Keszthely	2012	2013.09.10
2313	Török Ignácz	Nagykanizsa	2000	2016.01.27
2314	Hunyadi Mátyás	Lajosmizse	2003	2009.09.24
2315	Heller Farkas	Budapest	2007	2011.10.25
2316	Kossuth Lajos	Vésztő	1948	2012.12.28
2317	II. Rákóczi Ferenc	Dabas-Sári	2006	2010.10.31
2318	Hasznos István	Szolnok	1999	2013.11.17
2319	Tolnay Sándor	Lukácsháza	1998	2011.11.19
2320	Alpár Ignác	Nyíregyháza	2005	2010.11.19
2321	Giuseppe Garibaldi	Budapest	1932	2009.01.22
2322	Gyarmati Dezső	Budapest	1999	2013.01.20
2323	Grofcsik János	Veszprém	1977	2016.10.16
2324	Szondy Istvánné Lilike	Sümeg	1987	2017.01.15
2325	Fricsay Ferenc	Szeged	2003	2015.08.31
2326	Wass Albert	Kiskunfélegyháza	2013	2013.08.19
2327	Kettesy Aladár	Debrecen	2009	2009.01.25
2328	Elischer Gyula	Debrecen	2015	2015.11.10
2329	Szász Károly	Kunszentmiklós	2003	2012.09.07
2330	Hetényi Géza	Szolnok	1971	2010.07.23
2331	Strém Kálmán	Nagykanizsa	2009	2015.07.29
2332	Ján Smrek	Kiskőrös	1991	2010.10.20
2333	Zsigmondy Vilmos	Dorog	1988	2010.06.12
2334	Horváth Géza	Budapest	1981	2015.08.31
2335	Béres József	Budapest	2000	2014.09.27
2336	Joakim Vujić	Baja	1990	2010.11.15
2337	Mindszenty József	Kecskemét	2015	2015.09.28
2338	Vörösmarty Mihály	Bácsalmás	1983	2010.01.18
2339	Horthy Miklós	Csókakő	2012	2012.06.19
2340	II. Rákóczi Ferenc	Ópusztaszer	2001	2010.05.17
2341	Lengyel Béla id.	Budapest	1999	2010.04.18
2342	Rákóczi Pál	Újfehértó	1996	2016.09.03
2343	Petőfi Sándor	Patapoklosi	1999	2017.07.31
2344	Kossuth Lajos	Soltvadkert	1903	2009.08.02
2345	Róth Miksa	Budapest	1925	2014.01.12
2346	Szent István	Mágocs	2008	2009.10.31
2347	Géczy István	Bükkábrány	1999	2011.02.17
2348	Dobi István	Komárom-Szőny	1971	2015.02.20
2349	Széchenyi István gróf	Gyöngyös	2001	2012.05.26
2350	Szent István	Budapest		2018.01.30
2351	Hédl András	Sopron	2011	2012.04.01
2352	Petőfi Sándor	Újszász	1999	2015.03.30
2353	IV. Béla	Jászfényszaru	2013	2016.04.01
2354	Stróbl Alajos	Budapest		2009.04.29
2355	Nagy István	Baja	1973	2007.03.19
2356	József nádor	Budapest	1912	2011.09.29
2357	Holló László	Hajdúhadház	2007	2011.01.16
2358	Eugenio Espejo	Budapest	1975	2009.08.14
2359	Nadler Herbert	Budakeszi	2001	2014.06.10
2360	Born Ignác	Zalaegerszeg	2003	2012.08.09
2361	Kertai György	Zalaegerszeg	1986	2012.08.24
2362	Dobroszláv Lajos	Tata	2012	2012.07.08
2363	Pöltenberg Ernő	Veresegyház	2015	2015.10.07
2364	Szilády Károly	Kecskemét	1966	2008.05.12
2365	Kossuth Lajos	Gyula	1995	2009.10.06
2366	Petőfi Sándor	Taktaszada	2007	2011.11.23
2367	Széll Kálmán	Szentgotthárd	2002	2012.08.01
2368	Darnay-Dornyay Béla	Salgótarján	2001	2010.11.09
2369	Lenin	Mátészalka		2012.01.19
2370	Mária Terézia	Kistelek	2017	2017.10.06
2371	Széchenyi István gróf	Budapest	1941	2013.03.15
2372	Szőnyi Benjámin	Hódmezővásárhely	1984	2010.08.04
2373	Almásy László	Érd	1995	2008.05.05
2374	Gregus Máté	Székkutas	2011	2011.09.27
2375	Szerdahelyi József	Budapest	1908	2013.02.13
2376	József Attila	Békéscsaba	1975	2008.11.24
2377	Petőfi Sándor	Kecskemét	1996	2009.09.03
2378	Giuseppe Cassone	Kiskőrös	1985	2009.08.26
2379	Kisfaludy Károly	Budapest	1882	2017.05.17
2380	Zichy Jenő	Székesfehérvár	2012	2012.09.21
2381	Mihalik Dániel	Balatonlelle	1913	2012.09.08
2382	Kozma Sándor	Marcali	2001	2008.10.16
2383	Rónay Jácint	Pannonhalma	1888	2012.11.14
2384	Berzsenyi Dániel	Budapest	1986	2012.02.16
2385	Arany János	Csanádapáca	1976	2011.08.29
2386	Palánkay Klára	Budapest	2007	2013.06.20
2387	Kreybig Lajos	Budapest	1979	2015.09.09
2388	Teleki Pál gróf	Érd	1993	2008.05.05
2389	Balassa Bálint	Esztergom	1969	2009.08.13
2390	Kossuth Lajos	Gyömrő	1910	2012.01.06
2391	Wass Albert	Tapolca	2008	2011.10.03
2392	Molnár Antal	Budapest	1997	2010.04.17
2393	Ferencsik János	Budapest	1952	2014.06.13
2394	Déchy Mór	Érd	1992	2008.05.05
2395	Arany János	Nyírmeggyes	1999	2016.11.11
2396	Horthy Miklós	Balatonfüred	1936	2012.02.08
2397	Széchenyi István gróf	Csokonyavisonta	1906	2012.07.26
2398	Ujhelyi Imre	Dunapataj	1973	2009.07.02
2399	Kitaibel Pál	Harkány	1970	2012.08.31
2400	Fehér Ildikó	Budapest		2017.10.11
2401	Urbán Barna	Sárospatak	1987	2009.05.31
2402	Woynárovich Elek	Budapest	2013	2014.03.16
2403	II. Rákóczi Ferenc	Kiskőrös	2003	2009.08.02
2404	Kazinczy Ferenc	Sárospatak	1931	2009.06.03
2405	Bartók Béla	Budapest	1952	2008.11.19
2406	Bálint Sándor	Szeged	2004	2008.01.29
2407	Botvay Károly	Sopron	1997	2010.08.20
2408	Kőrösi Csoma Sándor	Dunakeszi	1984	2012.12.27
2409	Marek József	Mohács	1975	2018.05.21
2410	Kaffka Margit	Budapest	1978	2009.01.05
2411	Széchenyi István gróf	Mosonmagyaróvár	2005	2014.03.15
2412	Nagy Imre	Hévíz	1996	2008.07.26
2413	Kotsis Iván	Budapest	1998	2009.01.17
2414	Ittebei Kiss József	Szolnok	2018	2018.08.15
2415	Szent-Györgyi Albert	Szolnok	2007	2013.05.16
2416	Petőfi Sándor	Zalaegerszeg	1978	2008.07.26
2417	Móricz Zsigmond	Budapest	1952	2016.05.31
2418	Assisi Szent Ferenc	Csongrád	1941	2015.10.01
2419	Bereczki Máté	Baja	1979	2010.10.17
2420	Petőfi Sándor	Százhalombatta	1993	2008.05.04
2421	Prohászka Ottokár	Budakalász	2011	2012.06.12
2422	Mária Terézia	Szeged	1933	2014.03.13
2423	Galamb József	Makó	2001	2009.11.30
2424	Böröczky Kornél	Baja	2002	2008.06.20
2425	Nógrádi Sándor	Zánka	1984	2010.11.23
2426	Fáy András	Parád	1965	2014.07.23
2427	Bezerédj István	Szekszárd	1942	2007.11.04
2428	József Attila	Hegyeshalom		2011.11.29
2429	Bocskai István	Szerencs	2004	2011.02.23
2430	Szent István	Tolna	2000	2008.04.09
2431	Jurisics Miklós	Horvátzsidány	2007	2016.02.06
2432	Lázár Vilmos	Pécs	1993	2008.02.07
2433	Szent Benedek	Győr		2012.07.30
2434	Kossuth Lajos	Abádszalók	2010	2015.11.23
2435	Kisfaludy Sándor	Badacsonytomaj-Badacsony	2018	2018.08.31
2436	Holló László	Kiskunfélegyháza	1987	2009.09.22
2437	Arany János	Budapest	1930	2009.06.04
2438	Keleti Károly	Budakeszi	2001	2014.06.24
2439	Neumann János	Budapest	2003	2016.10.21
2440	Koszorús Ferenc	Budapest	2015	2015.07.09
2441	Kemenesy Ernő	Keszthely	1990	2014.08.12
2442	Cserháti Sándor	Martonvásár	1965	2012.03.28
2443	Aggházy Kamil	Budapest	2003	2013.06.08
2444	Bartók Béla	Hidas	1966	2017.09.19
2445	Kossuth Lajos	Balatonberény	2011	2012.07.28
2446	Fejtő Ferenc	Budapest	2008	2009.06.09
2447	Stingl Vince	Herend	1976	2010.05.04
2448	Mustafa Kemal Atatürk	Budapest	1993	2008.06.12
2449	Vörösmarty Mihály	Pincehely	1975	2011.06.26
2450	Illyés Gyula	Pálfa	2002	2015.08.31
2451	Deák Ferenc	Berekfürdő	2003	2009.05.18
2452	Nagy Lajos király	Márianosztra	2001	2008.04.24
2453	Lányi Ferenc	Dunakeszi	2002	2010.05.12
2454	Széchenyi István gróf	Budapest	1860	2017.05.17
2455	Konfuciusz	Budapest	2014	2015.08.03
2456	Vajda János	Keszthely	1997	2012.09.20
2457	Csokonai Vitéz Mihály	Nagykanizsa	2007	2008.02.14
2458	Orth György	Budapest	1978	2012.04.02
2459	Balassa János	Budapest	1935	2014.05.02
2460	Holitscher Szigfrid	Budapest	2017	2017.03.26
2461	Szekeres József	Nagykanizsa	2000	2015.06.02
2462	Déri Márta	Veszprém	2002	2011.08.24
2463	Hunfalvy János	Szeged	1930	2011.07.04
2464	Vándor Sándor	Tiszaújváros	1987	2009.07.13
2465	Bíró Károly	Pápa	2010	2014.12.22
2466	Petőfi Sándor	Kápolnásnyék	2016	2016.10.08
2467	Áchim L. András	Budapest	2014	2014.04.22
2468	Hensch Árpád	Mosonmagyaróvár	2013	2014.03.22
2469	Balázs Ferenc	Mátészalka	1992	2010.07.08
2470	Petőfi Sándor	Alsórajk	1967	2014.03.09
2471	Hepp Ferenc	Budapest	1993	2009.09.01
2472	Bánki Donát	Budapest	1959	2011.10.12
2473	Móricz Zsigmond	Leányfalu	1966	2010.05.09
2474	József Attila	Sarkad	1980	2013.06.25
2475	Schickedanz Albert	Budapest		2016.04.24
2476	József Attila	Battonya	1990	2010.03.27
2477	Deák Ferenc	Zalaegerszeg	1997	2012.05.22
2478	Bláthy Ottó Titusz	Gödöllő	1960	2013.12.07
2479	Koppányi Gyula id.	Békéscsaba	2008	2015.04.19
2480	Dollinger Gyula	Budapest	1969	2009.02.02
